Variable:,location,year,gbd_location_id,iso_code,iso_num_code,region,dah_eligible,sdi,the_per_cap_mean,ghes_per_the_mean,dah_per_cap_ppp_mean,haqi,cpi,perc_skill_attend,imm_pop_perc,perc_urban,result
Label:,Country name,Year,Country's IHME Location ID,ISO 3-digit code for country,ISO 3-digit numeric code for country,Country's Global Burden of Disease region,Country was eligible for development assistance,Socio-demographic Index,Total Health Spending per person,Government Health Spending per person,Development Assistance for Health per person,Healthcare Access and Quality Index,Corruption Perception Index,Births attended by skilled health personnel (%),International migrants as a percentage of the total population,Percentage of population residing in urban areas,Vaccine Improvement Index
Value Coding:,Armenia,1990,33,ARM,51,Central Asia,TRUE,,,,,,,,,,
,Azerbaijan,1991,34,AZE,31,Central Europe,FALSE,,,,,,,,,,
,Georgia,1992,35,GEO,268,Eastern Europe,,,,,,,,,,,
,Kazakhstan,1993,36,KAZ,398,Australasia,,,,,,,,,,,
,Kyrgyzstan,1994,37,KGZ,417,High-income Asia Pacific,,,,,,,,,,,
,Mongolia,1995,38,MNG,496,High-income North America,,,,,,,,,,,
,Tajikistan,1996,39,TJK,762,Southern Latin America,,,,,,,,,,,
,Turkmenistan,1997,40,TKM,795,Western Europe,,,,,,,,,,,
,Uzbekistan,1998,41,UZB,860,Andean Latin America,,,,,,,,,,,
,Albania,1999,43,ALB,8,Caribbean,,,,,,,,,,,
,Bosnia and Herzegovina,2000,44,BIH,70,Central Latin America,,,,,,,,,,,
,Bulgaria,2001,45,BGR,100,Tropical Latin America,,,,,,,,,,,
,Croatia,2002,46,HRV,191,North Africa and Middle East,,,,,,,,,,,
,Czechia,2003,47,CZE,203,South Asia,,,,,,,,,,,
,Hungary,2004,48,HUN,348,East Asia,,,,,,,,,,,
,Montenegro,2005,50,MNE,499,Oceania,,,,,,,,,,,
,North Macedonia,2006,49,MKD,807,Southeast Asia,,,,,,,,,,,
,Poland,2007,51,POL,616,Central Sub-Saharan Africa,,,,,,,,,,,
,Romania,2008,52,ROU,642,Eastern Sub-Saharan Africa,,,,,,,,,,,
,Serbia,2009,53,SRB,688,Southern Sub-Saharan Africa,,,,,,,,,,,
,Slovakia,2010,54,SVK,703,Western Sub-Saharan Africa,,,,,,,,,,,
,Slovenia,2011,55,SVN,705,,,,,,,,,,,,
,Belarus,2012,57,BLR,112,,,,,,,,,,,,
,Estonia,2013,58,EST,233,,,,,,,,,,,,
,Latvia,2014,59,LVA,428,,,,,,,,,,,,
,Lithuania,2015,60,LTU,440,,,,,,,,,,,,
,Republic of Moldova,2016,61,MDA,498,,,,,,,,,,,,
,Russian Federation,2017,62,RUS,643,,,,,,,,,,,,
,Ukraine,2018,63,UKR,804,,,,,,,,,,,,
,Australia,2019,71,AUS,36,,,,,,,,,,,,
,New Zealand,,72,NZL,554,,,,,,,,,,,,
,Brunei Darussalam,,66,BRN,96,,,,,,,,,,,,
,Japan,,67,JPN,392,,,,,,,,,,,,
,Republic of Korea,,68,KOR,410,,,,,,,,,,,,
,Singapore,,69,SGP,702,,,,,,,,,,,,
,Canada,,101,CAN,124,,,,,,,,,,,,
,United States of America,,102,USA,840,,,,,,,,,,,,
,Argentina,,97,ARG,32,,,,,,,,,,,,
,Chile,,98,CHL,152,,,,,,,,,,,,
,Uruguay,,99,URY,858,,,,,,,,,,,,
,Austria,,75,AUT,40,,,,,,,,,,,,
,Belgium,,76,BEL,56,,,,,,,,,,,,
,Cyprus,,77,CYP,196,,,,,,,,,,,,
,Denmark,,78,DNK,208,,,,,,,,,,,,
,Finland,,79,FIN,246,,,,,,,,,,,,
,France,,80,FRA,250,,,,,,,,,,,,
,Germany,,81,DEU,276,,,,,,,,,,,,
,Greece,,82,GRC,300,,,,,,,,,,,,
,Iceland,,83,ISL,352,,,,,,,,,,,,
,Ireland,,84,IRL,372,,,,,,,,,,,,
,Italy,,86,ITA,380,,,,,,,,,,,,
,Luxembourg,,87,LUX,442,,,,,,,,,,,,
,Malta,,88,MLT,470,,,,,,,,,,,,
,Netherlands,,89,NLD,528,,,,,,,,,,,,
,Norway,,90,NOR,578,,,,,,,,,,,,
,Portugal,,91,PRT,620,,,,,,,,,,,,
,Spain,,92,ESP,724,,,,,,,,,,,,
,Switzerland,,94,CHE,756,,,,,,,,,,,,
,United Kingdom,,95,GBR,826,,,,,,,,,,,,
,Bolivia (Plurinational State of),,121,BOL,68,,,,,,,,,,,,
,Ecuador,,122,ECU,218,,,,,,,,,,,,
,Peru,,123,PER,604,,,,,,,,,,,,
,Bahamas,,106,BHS,44,,,,,,,,,,,,
,Barbados,,107,BRB,52,,,,,,,,,,,,
,Cuba,,109,CUB,192,,,,,,,,,,,,
,Dominica,,110,DMA,212,,,,,,,,,,,,
,Dominican Republic,,111,DOM,214,,,,,,,,,,,,
,Grenada,,112,GRD,308,,,,,,,,,,,,
,Guyana,,113,GUY,328,,,,,,,,,,,,
,Haiti,,114,HTI,332,,,,,,,,,,,,
,Jamaica,,115,JAM,388,,,,,,,,,,,,
,Saint Lucia,,116,LCA,662,,,,,,,,,,,,
,Saint Vincent and the Grenadines,,117,VCT,670,,,,,,,,,,,,
,Suriname,,118,SUR,740,,,,,,,,,,,,
,Trinidad and Tobago,,119,TTO,780,,,,,,,,,,,,
,Colombia,,125,COL,170,,,,,,,,,,,,
,Costa Rica,,126,CRI,188,,,,,,,,,,,,
,El Salvador,,127,SLV,222,,,,,,,,,,,,
,Guatemala,,128,GTM,320,,,,,,,,,,,,
,Honduras,,129,HND,340,,,,,,,,,,,,
,Mexico,,130,MEX,484,,,,,,,,,,,,
,Nicaragua,,131,NIC,558,,,,,,,,,,,,
,Panama,,132,PAN,591,,,,,,,,,,,,
,Venezuela (Bolivarian Republic of),,133,VEN,862,,,,,,,,,,,,
,Brazil,,135,BRA,76,,,,,,,,,,,,
,Paraguay,,136,PRY,600,,,,,,,,,,,,
,Afghanistan,,160,AFG,4,,,,,,,,,,,,
,Algeria,,139,DZA,12,,,,,,,,,,,,
,Bahrain,,140,BHR,48,,,,,,,,,,,,
,Egypt,,141,EGY,818,,,,,,,,,,,,
,Iran (Islamic Republic of),,142,IRN,364,,,,,,,,,,,,
,Iraq,,143,IRQ,368,,,,,,,,,,,,
,Jordan,,144,JOR,400,,,,,,,,,,,,
,Kuwait,,145,KWT,414,,,,,,,,,,,,
,Lebanon,,146,LBN,422,,,,,,,,,,,,
,Libya,,147,LBY,434,,,,,,,,,,,,
,Morocco,,148,MAR,504,,,,,,,,,,,,
,Oman,,150,OMN,512,,,,,,,,,,,,
,Qatar,,151,QAT,634,,,,,,,,,,,,
,Saudi Arabia,,152,SAU,682,,,,,,,,,,,,
,Sudan,,522,SDN,729,,,,,,,,,,,,
,Syrian Arab Republic,,153,SYR,760,,,,,,,,,,,,
,Tunisia,,154,TUN,788,,,,,,,,,,,,
,Turkey,,155,TUR,792,,,,,,,,,,,,
,United Arab Emirates,,156,ARE,784,,,,,,,,,,,,
,Yemen,,157,YEM,887,,,,,,,,,,,,
,Bangladesh,,161,BGD,50,,,,,,,,,,,,
,Bhutan,,162,BTN,64,,,,,,,,,,,,
,India,,163,IND,356,,,,,,,,,,,,
,Nepal,,164,NPL,524,,,,,,,,,,,,
,Pakistan,,165,PAK,586,,,,,,,,,,,,
,China,,6,CHN,156,,,,,,,,,,,,
,Democratic People's Republic of Korea,,7,PRK,408,,,,,,,,,,,,
,Papua New Guinea,,26,PNG,598,,,,,,,,,,,,
,Solomon Islands,,28,SLB,90,,,,,,,,,,,,
,Vanuatu,,30,VUT,548,,,,,,,,,,,,
,Cambodia,,10,KHM,116,,,,,,,,,,,,
,Indonesia,,11,IDN,360,,,,,,,,,,,,
,Lao People's Democratic Republic,,12,LAO,418,,,,,,,,,,,,
,Malaysia,,13,MYS,458,,,,,,,,,,,,
,Maldives,,14,MDV,462,,,,,,,,,,,,
,Mauritius,,183,MUS,480,,,,,,,,,,,,
,Myanmar,,15,MMR,104,,,,,,,,,,,,
,Philippines,,16,PHL,608,,,,,,,,,,,,
,Seychelles,,186,SYC,690,,,,,,,,,,,,
,Sri Lanka,,17,LKA,144,,,,,,,,,,,,
,Thailand,,18,THA,764,,,,,,,,,,,,
,Timor-Leste,,19,TLS,626,,,,,,,,,,,,
,Viet Nam,,20,VNM,704,,,,,,,,,,,,
,Angola,,168,AGO,24,,,,,,,,,,,,
,Central African Republic,,169,CAF,140,,,,,,,,,,,,
,Congo,,170,COG,178,,,,,,,,,,,,
,Democratic Republic of the Congo,,171,COD,180,,,,,,,,,,,,
,Equatorial Guinea,,172,GNQ,226,,,,,,,,,,,,
,Gabon,,173,GAB,266,,,,,,,,,,,,
,Burundi,,175,BDI,108,,,,,,,,,,,,
,Comoros,,176,COM,174,,,,,,,,,,,,
,Djibouti,,177,DJI,262,,,,,,,,,,,,
,Eritrea,,178,ERI,232,,,,,,,,,,,,
,Ethiopia,,179,ETH,231,,,,,,,,,,,,
,Kenya,,180,KEN,404,,,,,,,,,,,,
,Madagascar,,181,MDG,450,,,,,,,,,,,,
,Malawi,,182,MWI,454,,,,,,,,,,,,
,Mozambique,,184,MOZ,508,,,,,,,,,,,,
,Rwanda,,185,RWA,646,,,,,,,,,,,,
,Somalia,,187,SOM,706,,,,,,,,,,,,
,South Sudan,,435,SSD,728,,,,,,,,,,,,
,Uganda,,190,UGA,800,,,,,,,,,,,,
,United Republic of Tanzania,,189,TZA,834,,,,,,,,,,,,
,Zambia,,191,ZMB,894,,,,,,,,,,,,
,Botswana,,193,BWA,72,,,,,,,,,,,,
,Eswatini,,197,SWZ,748,,,,,,,,,,,,
,Lesotho,,194,LSO,426,,,,,,,,,,,,
,Namibia,,195,NAM,516,,,,,,,,,,,,
,South Africa,,196,ZAF,710,,,,,,,,,,,,
,Zimbabwe,,198,ZWE,716,,,,,,,,,,,,
,Benin,,200,BEN,204,,,,,,,,,,,,
,Burkina Faso,,201,BFA,854,,,,,,,,,,,,
,Cabo Verde,,203,CPV,132,,,,,,,,,,,,
,Cameroon,,202,CMR,120,,,,,,,,,,,,
,Chad,,204,TCD,148,,,,,,,,,,,,
,Côte d'Ivoire,,205,CIV,384,,,,,,,,,,,,
,Gambia,,206,GMB,270,,,,,,,,,,,,
,Ghana,,207,GHA,288,,,,,,,,,,,,
,Guinea,,208,GIN,324,,,,,,,,,,,,
,Guinea-Bissau,,209,GNB,624,,,,,,,,,,,,
,Liberia,,210,LBR,430,,,,,,,,,,,,
,Mali,,211,MLI,466,,,,,,,,,,,,
,Mauritania,,212,MRT,478,,,,,,,,,,,,
,Niger,,213,NER,562,,,,,,,,,,,,
,Nigeria,,214,NGA,566,,,,,,,,,,,,
,Sao Tome and Principe,,215,STP,678,,,,,,,,,,,,
,Senegal,,216,SEN,686,,,,,,,,,,,,
,Sierra Leone,,217,SLE,694,,,,,,,,,,,,
,Togo,,218,TGO,768,,,,,,,,,,,,
